Title; Author; Year; Original_line
Последняя любовь; Федор Тютчев; 1852; О как на склоне наших лет
Последняя любовь; Федор Тютчев; 1852; Нежней мы любим и суеверней…
Последняя любовь; Федор Тютчев; 1852; Сияй сияй прощальный свет
Последняя любовь; Федор Тютчев; 1852; Любви последней зари вечерней
Бог; Гавриил Державин; 1784; О Ты пространством бесконечный
Бог; Гавриил Державин; 1784; Живый в движеньи вещества
Бог; Гавриил Державин; 1784; Теченьем времени превечный
Бог; Гавриил Державин; 1784; Без лиц в трех лицах Божества
Бог; Гавриил Державин; 1784; Дух всюду сущий и единый
Бог; Гавриил Державин; 1784; Кому нет места и причины
Бог; Гавриил Державин; 1784; Кого никто постичь не мог
Бог; Гавриил Державин; 1784; Кто все Собою наполняет
Бог; Гавриил Державин; 1784; Объемлет зиждет сохраняет
Бог; Гавриил Державин; 1784; Кого мы нарицаем — Бог
Рождественская звезда; Борис Пастернак; 1947; Стояла зима
Рождественская звезда; Борис Пастернак; 1947; Дул ветер из степи
Рождественская звезда; Борис Пастернак; 1947; И холодно было младенцу в вертепе
Рождественская звезда; Борис Пастернак; 1947; На склоне холма
Про это; Владимир Маяковский; Год написания не известен; В этой теме
Про это; Владимир Маяковский; Год написания не известен; и личной
Про это; Владимир Маяковский; Год написания не известен; и мелкой
Про это; Владимир Маяковский; Год написания не известен; перепетой не раз
Про это; Владимир Маяковский; Год написания не известен; и не пять
Про это; Владимир Маяковский; Год написания не известен; я кружил поэтической белкой
Про это; Владимир Маяковский; Год написания не известен; и хочу кружиться опять
Про это; Владимир Маяковский; Год написания не известен; Эта тема
Про это; Владимир Маяковский; Год написания не известен; сейчас
Про это; Владимир Маяковский; Год написания не известен; и молитвой у Будды
Про это; Владимир Маяковский; Год написания не известен; и у негра вострит на хозяев нож
Про это; Владимир Маяковский; Год написания не известен; Если Марс
Про это; Владимир Маяковский; Год написания не известен; и на нем хоть один сердцелюдый
Про это; Владимир Маяковский; Год написания не известен; то и он
Про это; Владимир Маяковский; Год написания не известен; сейчас
Про это; Владимир Маяковский; Год написания не известен; скрипит
Про это; Владимир Маяковский; Год написания не известен; про то ж
Про это; Владимир Маяковский; Год написания не известен; Эта тема придет
Про это; Владимир Маяковский; Год написания не известен; калеку за локти
Про это; Владимир Маяковский; Год написания не известен; подтолкнет к бумаге
Про это; Владимир Маяковский; Год написания не известен; прикажет
Про это; Владимир Маяковский; Год написания не известен; — Скреби —
Про это; Владимир Маяковский; Год написания не известен; И калека
Про это; Владимир Маяковский; Год написания не известен; с бумаги
Про это; Владимир Маяковский; Год написания не известен; срывается в клёкоте
Про это; Владимир Маяковский; Год написания не известен; только строчками в солнце песня рябит
Про это; Владимир Маяковский; Год написания не известен; Эта тема придет
Про это; Владимир Маяковский; Год написания не известен; позвонѝтся с кухни
Про это; Владимир Маяковский; Год написания не известен; повернется
Про это; Владимир Маяковский; Год написания не известен; сгинет шапчонкой гриба
Про это; Владимир Маяковский; Год написания не известен; и гигант
Про это; Владимир Маяковский; Год написания не известен; постоит секунду
Про это; Владимир Маяковский; Год написания не известен; и рухнет
Про это; Владимир Маяковский; Год написания не известен; под записочной рябью себя погребя
Про это; Владимир Маяковский; Год написания не известен; Эта тема придет
Про это; Владимир Маяковский; Год написания не известен; прикажет
Про это; Владимир Маяковский; Год написания не известен; — Истина —
Про это; Владимир Маяковский; Год написания не известен; Эта тема придет
Про это; Владимир Маяковский; Год написания не известен; велит
Про это; Владимир Маяковский; Год написания не известен; — Красота —
Про это; Владимир Маяковский; Год написания не известен; И пускай
Про это; Владимир Маяковский; Год написания не известен; перекладиной кисти раскистены —
Про это; Владимир Маяковский; Год написания не известен; только вальс под нос мурлычешь с креста
Про это; Владимир Маяковский; Год написания не известен; Эта тема азбуку тронет разбегом —
Про это; Владимир Маяковский; Год написания не известен; уж на что б казалось книга ясна —
Про это; Владимир Маяковский; Год написания не известен; и становится
Про это; Владимир Маяковский; Год написания не известен; — А —
Про это; Владимир Маяковский; Год написания не известен; недоступней Казбека
Про это; Владимир Маяковский; Год написания не известен; Замутит
Про это; Владимир Маяковский; Год написания не известен; оттянет от хлеба и сна
Про это; Владимир Маяковский; Год написания не известен; Эта тема придет
Про это; Владимир Маяковский; Год написания не известен; вовек не износится
Про это; Владимир Маяковский; Год написания не известен; только скажет
Про это; Владимир Маяковский; Год написания не известен; — Отныне гляди на меня —
Про это; Владимир Маяковский; Год написания не известен; И глядишь на нее
Про это; Владимир Маяковский; Год написания не известен; и идешь знаменосцем
Про это; Владимир Маяковский; Год написания не известен; красношелкий огонь над землей знаменя
Про это; Владимир Маяковский; Год написания не известен; Это хитрая тема
Про это; Владимир Маяковский; Год написания не известен; Нырнет под события
Про это; Владимир Маяковский; Год написания не известен; в тайниках инстинктов готовясь к прыжку
Про это; Владимир Маяковский; Год написания не известен; и как будто ярясь
Про это; Владимир Маяковский; Год написания не известен; — посмели забыть ее —
Про это; Владимир Маяковский; Год написания не известен; затрясет
Про это; Владимир Маяковский; Год написания не известен; посыпятся души из шкур
Про это; Владимир Маяковский; Год написания не известен; Эта тема ко мне заявилась гневная
Про это; Владимир Маяковский; Год написания не известен; приказала
Про это; Владимир Маяковский; Год написания не известен; — Подать
Про это; Владимир Маяковский; Год написания не известен; дней удила —
Про это; Владимир Маяковский; Год написания не известен; Посмотрела скривясь в мое ежедневное
Про это; Владимир Маяковский; Год написания не известен; и грозой раскидала людей и дела
Про это; Владимир Маяковский; Год написания не известен; Эта тема пришла
Про это; Владимир Маяковский; Год написания не известен; остальные оттерла
Про это; Владимир Маяковский; Год написания не известен; и одна
Про это; Владимир Маяковский; Год написания не известен; безраздельно стала близка
Про это; Владимир Маяковский; Год написания не известен; Эта тема ножом подступила к горлу
Про это; Владимир Маяковский; Год написания не известен; Молотобоец
Про это; Владимир Маяковский; Год написания не известен; От сердца к вискам
Про это; Владимир Маяковский; Год написания не известен; Эта тема день истемнила в темень
Про это; Владимир Маяковский; Год написания не известен; колотись — велела — строчками лбов
Про это; Владимир Маяковский; Год написания не известен; Имя
Про это; Владимир Маяковский; Год написания не известен; этой
Про это; Владимир Маяковский; Год написания не известен; теме
Про это; Владимир Маяковский; Год написания не известен;       
Нет, не тебя так пылко я люблю…; Михаил Лермонтов; 1841; <strong>1< strong>
Если жизнь тебя обманет…; Александр Пушкин; 1825; Если жизнь тебя обманет
Если жизнь тебя обманет…; Александр Пушкин; 1825; Не печалься не сердись
Если жизнь тебя обманет…; Александр Пушкин; 1825; В день уныния смирись
Если жизнь тебя обманет…; Александр Пушкин; 1825; День веселья верь настанет
Диалог у телевизора; Владимир Высоцкий; 1973; — Ой Вань Смотри какие клоуны
Диалог у телевизора; Владимир Высоцкий; 1973; Рот — хоть завязочки пришей…
Диалог у телевизора; Владимир Высоцкий; 1973; Ой до чего Вань размалёваны
Диалог у телевизора; Владимир Высоцкий; 1973; И голос — как у алкашей
Встреча зимы; Иван Никитин; 1854; Поутру вчера дождь
Встреча зимы; Иван Никитин; 1854; В стекла окон стучал
Встреча зимы; Иван Никитин; 1854; Над землею туман
Встреча зимы; Иван Никитин; 1854; Облаками вставал
Вот вам стихи!; Иван Крылов; Год написания не известен; Вот вам стихи
Вот вам стихи!; Иван Крылов; Год написания не известен; Не кушайте ухи
Вот вам стихи!; Иван Крылов; Год написания не известен; А кушайте жаркое
Вот вам стихи!; Иван Крылов; Год написания не известен; Иль чтонибудь другое
Вот вам стихи!; Иван Крылов; Год написания не известен; Затем покорный ваш слуга
Вот вам стихи!; Иван Крылов; Год написания не известен; И гнусь пред вами как дуга
Нобелевская премия; Борис Пастернак; 1959; Я пропал как зверь в загоне
Нобелевская премия; Борис Пастернак; 1959; Гдето люди воля свет
Нобелевская премия; Борис Пастернак; 1959; А за мною шум погони
Нобелевская премия; Борис Пастернак; 1959; Мне наружу ходу нет
Среди миров; Иннокентий Анненский; 1909; Среди миров в мерцании светил
Среди миров; Иннокентий Анненский; 1909; Одной Звезды я повторяю имя…
Среди миров; Иннокентий Анненский; 1909; Не потому чтоб я Ее любил
Среди миров; Иннокентий Анненский; 1909; А потому что я томлюсь с другими
Среди миров; Иннокентий Анненский; 1909; 
Среди миров; Иннокентий Анненский; 1909; И если мне сомненье тяжело
Среди миров; Иннокентий Анненский; 1909; Я у Нее одной ищу ответа
Среди миров; Иннокентий Анненский; 1909; Не потому что от Нее светло
Среди миров; Иннокентий Анненский; 1909; А потому что с Ней не надо света
И вечный бой…; Иосиф Бродский; Год написания не известен; И вечный бой
И вечный бой…; Иосиф Бродский; Год написания не известен; Покой нам только снится
И вечный бой…; Иосиф Бродский; Год написания не известен; И пусть ничто
И вечный бой…; Иосиф Бродский; Год написания не известен; не потревожит сны
И вечный бой…; Иосиф Бродский; Год написания не известен; Седая ночь
И вечный бой…; Иосиф Бродский; Год написания не известен; и дремлющие птицы
И вечный бой…; Иосиф Бродский; Год написания не известен; качаются от синей тишины
Я обманывать себя не стану…; Сергей Есенин; 1922; Я обманывать себя не стану
Я обманывать себя не стану…; Сергей Есенин; 1922; Залегла забота в сердце мглистом
Я обманывать себя не стану…; Сергей Есенин; 1922; Отчего прослыл я шарлатаном
Я обманывать себя не стану…; Сергей Есенин; 1922; Отчего прослыл я скандалистом
Слон; Агния Барто; Год написания не известен; Спать пора Уснул бычок
Слон; Агния Барто; Год написания не известен; Лег в коробку на бочок
Слон; Агния Барто; Год написания не известен; Сонный мишка лег в кровать
Слон; Агния Барто; Год написания не известен; Только слон не хочет спать
Слон; Агния Барто; Год написания не известен; Головой качает слон
Слон; Агния Барто; Год написания не известен; Он слонихе шлет поклон
Прохожий; Марина Цветаева; 1913; Идешь на меня похожий
Прохожий; Марина Цветаева; 1913; Глаза устремляя вниз
Прохожий; Марина Цветаева; 1913; Я их опускала — тоже
Прохожий; Марина Цветаева; 1913; Прохожий остановись
Смерть Ермака; Кондратий Рылеев; 1821; Ревела буря дождь шумел
Смерть Ермака; Кондратий Рылеев; 1821; Во мраке молнии летали
Смерть Ермака; Кондратий Рылеев; 1821; Бесперерывно гром гремел
Смерть Ермака; Кондратий Рылеев; 1821; И ветры в дебрях бушевали…
Смерть Ермака; Кондратий Рылеев; 1821; Ко славе страстию дыша
Смерть Ермака; Кондратий Рылеев; 1821; В стране суровой и угрюмой
Смерть Ермака; Кондратий Рылеев; 1821; На диком бреге Иртыша
Смерть Ермака; Кондратий Рылеев; 1821; Сидел Ермак объятый думой
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Я входил вместо дикого зверя в клетку
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; выжигал свой срок и кликуху гвоздем в бараке
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; жил у моря играл в рулетку
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; обедал черт знает с кем во фраке
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; С высоты ледника я озирал полмира
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; трижды тонул дважды бывал распорот
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Бросил страну что меня вскормила
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Из забывших меня можно составить город
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Я слонялся в степях помнящих вопли гунна
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; надевал на себя что сызнова входит в моду
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; сеял рожь покрывал черной толью гумна
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; и не пил только сухую воду
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Я впустил в свои сны вороненый зрачок конвоя
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; жрал хлеб изгнанья не оставляя корок
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Позволял своим связкам все звуки помимо воя
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; перешел на шепот Теперь мне сорок
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Что сказать мне о жизни Что оказалась длинной
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Только с горем я чувствую солидарность
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; Но пока мне рот не забили глиной
Я входил вместо дикого зверя в клетку; Иосиф Бродский; 1980; из него раздаваться будет лишь благодарность
Школьнику на память; Самуил Маршак; 1944; Тех кто в школу опоздал
Школьнику на память; Самуил Маршак; 1944; Она не станет ждать
Школьнику на память; Самуил Маршак; 1944; Хоть без колес устроен класс
Школьнику на память; Самуил Маршак; 1944; Он далеко уйдет за час
Спит ковыль. Равнина дорогая…; Сергей Есенин; 1925; Спит ковыль Равнина дорогая
Спит ковыль. Равнина дорогая…; Сергей Есенин; 1925; И свинцовой свежести полынь
Спит ковыль. Равнина дорогая…; Сергей Есенин; 1925; Никакая родина другая
Спит ковыль. Равнина дорогая…; Сергей Есенин; 1925; Не вольет мне в грудь мою теплынь
Мячик (Наша Таня громко плачет); Агния Барто; Год написания не известен; Наша Таня громко плачет
Мячик (Наша Таня громко плачет); Агния Барто; Год написания не известен; Уронила в речку мячик
Мячик (Наша Таня громко плачет); Агния Барто; Год написания не известен; — Тише Танечка не плачь
Мячик (Наша Таня громко плачет); Агния Барто; Год написания не известен; Не утонет в речке мяч
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; Пока Земля еще вертится
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; пока еще ярок свет
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; Господи дай же ты каждому
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; чего у него нет
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; мудрому дай голову
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; трусливому дай коня
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; дай счастливому денег…
Молитва (пока Земля еще вертится); Булат Окуджава; Год написания не известен; И не забудь про меня
Левый марш; Владимир Маяковский; 1918; <em>Матросам< em>
Поэту; Александр Пушкин; 1830; Поэт не дорожи любовию народной
Поэту; Александр Пушкин; 1830; Восторженных похвал пройдет минутный шум
Поэту; Александр Пушкин; 1830; Услышишь суд глупца и смех толпы холодной
Поэту; Александр Пушкин; 1830; Но ты останься тверд спокоен и угрюм
Ветхая избушка; Александр Блок; 1906; Ветхая избушка
Ветхая избушка; Александр Блок; 1906; Вся в снегу стоит
Ветхая избушка; Александр Блок; 1906; Бабушкастарушка
Ветхая избушка; Александр Блок; 1906; Из окна глядит
Если вы есть будьте первыми; Роберт Рождественский; Год написания не известен; Если вы есть — будьте первыми
Если вы есть будьте первыми; Роберт Рождественский; Год написания не известен; Первыми кем бы вы ни были
Если вы есть будьте первыми; Роберт Рождественский; Год написания не известен; Из песен — лучшими песнями
Если вы есть будьте первыми; Роберт Рождественский; Год написания не известен; Из книг — настоящими книгами
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; Ниоткуда с любовью надцатого мартобря
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; дорогой уважаемый милая но не важно
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; даже кто ибо черт лица говоря
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; откровенно не вспомнить уже не ваш но
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; и ничей верный друг вас приветствует с одного
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; из пяти континентов держащегося на ковбоях
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; Я любил тебя больше чем ангелов и самого
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; и поэтому дальше теперь
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; от тебя чем от них обоих
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; Далеко поздно ночью в долине на самом дне
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; в городке занесенном снегом по ручку двери
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; извиваясь ночью на простыне
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; как не сказано ниже по крайней мере
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; я взбиваю подушку мычащим «ты»
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; за горами которым конца и края
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; в темноте всем телом твои черты
Ниоткуда с любовью, надцатого мартобря…; Иосиф Бродский; 1976; как безумное зеркало повторяя
Песня о Родине; Василий Лебедев-Кумач; Год написания не известен; Широка страна моя родная
Песня о Родине; Василий Лебедев-Кумач; Год написания не известен; Много в ней лесов полей и рек
Песня о Родине; Василий Лебедев-Кумач; Год написания не известен; Я другой такой страны не знаю
Песня о Родине; Василий Лебедев-Кумач; Год написания не известен; Где так вольно дышит человек
Я усталым таким еще не был…; Сергей Есенин; 1923; Я усталым таким еще не был
Я усталым таким еще не был…; Сергей Есенин; 1923; В эту серую морозь и слизь
Я усталым таким еще не был…; Сергей Есенин; 1923; Мне приснилось рязанское небо
Я усталым таким еще не был…; Сергей Есенин; 1923; И моя непутевая жизнь
Кто я? Что я? Только лишь мечтатель…; Сергей Есенин; 1925; Кто я Что я Только лишь мечтатель
Кто я? Что я? Только лишь мечтатель…; Сергей Есенин; 1925; Перстень счастья ищущий во мгле
Кто я? Что я? Только лишь мечтатель…; Сергей Есенин; 1925; Эту жизнь живу я словно кстати
Кто я? Что я? Только лишь мечтатель…; Сергей Есенин; 1925; Заодно с другими на земле
Фома; Сергей Михалков; Год написания не известен; В одном переулке
Фома; Сергей Михалков; Год написания не известен; Стояли дома
Фома; Сергей Михалков; Год написания не известен; В одном из домов
Фома; Сергей Михалков; Год написания не известен; Жил упрямый Фома
Разгром; Эдуард Успенский; Год написания не известен; Мама приходит с работы
Разгром; Эдуард Успенский; Год написания не известен; Мама снимает боты
Разгром; Эдуард Успенский; Год написания не известен; Мама приходит в дом
Разгром; Эдуард Успенский; Год написания не известен; Мама глядит кругом
Разгром; Эдуард Успенский; Год написания не известен; — Был на квартиру налёт
Разгром; Эдуард Успенский; Год написания не известен; — Нет
Разгром; Эдуард Успенский; Год написания не известен; — К нам заходил бегемот
Разгром; Эдуард Успенский; Год написания не известен; — Нет
Разгром; Эдуард Успенский; Год написания не известен; — Может быть дом не наш
Разгром; Эдуард Успенский; Год написания не известен; — Наш
Разгром; Эдуард Успенский; Год написания не известен; — Может не наш этаж
Разгром; Эдуард Успенский; Год написания не известен; — Наш
Разгром; Эдуард Успенский; Год написания не известен; Просто приходил Серёжка
Разгром; Эдуард Успенский; Год написания не известен; Поиграли мы немножко
Разгром; Эдуард Успенский; Год написания не известен; — Значит это не обвал
Разгром; Эдуард Успенский; Год написания не известен; — Нет
Разгром; Эдуард Успенский; Год написания не известен; — Значит слон не танцевал
Разгром; Эдуард Успенский; Год написания не известен; — Нет
Разгром; Эдуард Успенский; Год написания не известен; — Очень рада Оказалось
Разгром; Эдуард Успенский; Год написания не известен; Я напрасно волновалась
Мой Дагестан; Расул Гамзатов; Год написания не известен; <em>Перевод Наума Гребнева< em>
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Позвони мне позвони
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Позвони мне ради Бога
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Через время протяни
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Голос тихий и глубокий
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Звезды тают над Москвой
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Может я забыла гордость
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Как хочу я слышать голос
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Как хочу я слышать голос
Позвони мне, позвони; Роберт Рождественский; Год написания не известен; Долгожданный голос твой
Когда ты загнан и забит…; Александр Блок; 1911; Когда ты загнан и забит
Когда ты загнан и забит…; Александр Блок; 1911; Людьми заботой иль тоскою
Когда ты загнан и забит…; Александр Блок; 1911; Когда под гробовой доскою
Когда ты загнан и забит…; Александр Блок; 1911; Все что тебя пленяло спит
Когда ты загнан и забит…; Александр Блок; 1911; Когда по городской пустыне
Когда ты загнан и забит…; Александр Блок; 1911; Отчаявшийся и больной
Когда ты загнан и забит…; Александр Блок; 1911; Ты возвращаешься домой
Когда ты загнан и забит…; Александр Блок; 1911; И тяжелит ресницы иней 
Когда ты загнан и забит…; Александр Блок; 1911; Тогда — остановись на миг
Когда ты загнан и забит…; Александр Блок; 1911; Послушать тишину ночную
Когда ты загнан и забит…; Александр Блок; 1911; Постигнешь слухом жизнь иную
Когда ты загнан и забит…; Александр Блок; 1911; Которой днем ты не постиг
Когда ты загнан и забит…; Александр Блок; 1911; Поновому окинешь взглядом
Когда ты загнан и забит…; Александр Блок; 1911; Даль снежных улиц дым костра
Когда ты загнан и забит…; Александр Блок; 1911; Ночь тихо ждущую утра
Когда ты загнан и забит…; Александр Блок; 1911; Над белым запушенным садом
Когда ты загнан и забит…; Александр Блок; 1911; И небо — книгу между книг
Когда ты загнан и забит…; Александр Блок; 1911; Найдешь в душе опустошенной
Когда ты загнан и забит…; Александр Блок; 1911; Вновь образ матери склоненный
Когда ты загнан и забит…; Александр Блок; 1911; И в этот несравненный миг 
Когда ты загнан и забит…; Александр Блок; 1911; Узоры на стекле фонарном
Когда ты загнан и забит…; Александр Блок; 1911; Мороз оледенивший кровь
Когда ты загнан и забит…; Александр Блок; 1911; Твоя холодная любовь 
Когда ты загнан и забит…; Александр Блок; 1911; Все вспыхнет в сердце благодарном
Когда ты загнан и забит…; Александр Блок; 1911; Ты все благословишь тогда
Когда ты загнан и забит…; Александр Блок; 1911; Поняв что жизнь — безмерно боле
Когда ты загнан и забит…; Александр Блок; 1911; Чем quantum satis* Бранда воли
Когда ты загнан и забит…; Александр Блок; 1911; А мир — прекрасен как всегда
Возьми на радость из моих ладоней…; Осип Мандельштам; 1920; Возьми на радость из моих ладоней
Возьми на радость из моих ладоней…; Осип Мандельштам; 1920; Немного солнца и немного меда
Возьми на радость из моих ладоней…; Осип Мандельштам; 1920; Как нам велели пчелы Персефоны
Скрюченная песня; Корней Чуковский; Год написания не известен; Жил на свете человек
Скрюченная песня; Корней Чуковский; Год написания не известен; Скрюченные ножки
Скрюченная песня; Корней Чуковский; Год написания не известен; И гулял он целый век
Скрюченная песня; Корней Чуковский; Год написания не известен; По скрюченной дорожке
Мы встречались с тобой на закате…; Александр Блок; 1902; Мы встречались с тобой на закате
Мы встречались с тобой на закате…; Александр Блок; 1902; Ты веслом рассекала залив
Мы встречались с тобой на закате…; Александр Блок; 1902; Я любил твое белое платье
Мы встречались с тобой на закате…; Александр Блок; 1902; Утонченность мечты разлюбив
Казачья колыбельная песня; Михаил Лермонтов; 1838; Спи младенец мой прекрасный
Казачья колыбельная песня; Михаил Лермонтов; 1838; Баюшкибаю
Казачья колыбельная песня; Михаил Лермонтов; 1838; Тихо смотрит месяц ясный
Казачья колыбельная песня; Михаил Лермонтов; 1838; В колыбель твою
Казачья колыбельная песня; Михаил Лермонтов; 1838; Стану сказывать я сказки
Казачья колыбельная песня; Михаил Лермонтов; 1838; Песенку спою
Казачья колыбельная песня; Михаил Лермонтов; 1838; Ты ж дремли закрывши глазки
